name,quantity,notes,final_price,original_price,discount,url
"Godrej Hanabi Insecticide Pyridaben 20% ww WP used for the control of mites on Chilli, Cotton and Tea",200.00 gm,200 Gm x 1 Qty,1034,1150,116,https://agribegri.com/products/buy-godrej-hanabi-insecticide-pyridaben-20-ww-wp-online.php
"YK Laboratories Oxyveg Cotton Special For Cotton Crop For Borers, Cutworms, Root Grubs & Mealy bugs",1.00 liter,1 Ltr x 1 Qty,1600,1800,200,https://agribegri.com/products/yk-cotton-special.php
"Nagarjuna Fury Carbofuran 3% CG, A Broad Spectrum Systemic Carbamate Insecticide.",25.00 kg,1 Kg x 25 Qty,3835,3875,40,https://agribegri.com/products/nagarjuna-fury-carbofuran-3-cg.php
"Adama Custodia Azoxystrobin 11% + Tebuconazole 18.3% ww SC, Broad Spectrum Fungicide",1.00 liter,1 Ltr x 1 Qty,2500,3755,1255,https://agribegri.com/products/buy-adama-custodia-online--azoxystrobin-11--tebuconazole-184.php
"BACF Bustex Amino Acid Salts and Cytokinin, Best For All Vegetable Crops And Fruits.",500.00 ml,500 ML x 1 Qty,499,875,376,https://agribegri.com/products/bustex-amino-acid-salts-and-cytokinin.php
"BACF Mycota Beauveria Bassiana 1.15% WP Bio Pesticide, Best For Cattle Piller, Grubs, Whitefly.",2.00 kg,500 Gm x 4 Qty,1455,1460,5,https://agribegri.com/products/mycota-beauveria-bassiana.php
"Aries Agro Rajat HD For Bacterial Treatment, Metallic Ions Embedded With Herbal Extract for all Crops",25.00 ml,25 ML x 1 Qty,437,599,162,https://agribegri.com/products/aries-rajat-hd-bacterial-treatment.php
"Aries Ari Potash Mixed Macronutrient Fertilizer, An Essential Nutrient for Plant Growth",500.00 ml,500 ML x 1 Qty,462,638,176,https://agribegri.com/products/buy--aries-ari-potash.php
"Iris Hybrid Vegetable Seeds F1 Hot Pepper (Chilli) IHS 990, Light Green And Red Color, Achari Variety",10.00 gm,10 Gm x 1 Qty,541,620,79,https://agribegri.com/products/iris-hybrid-vegetable-seeds-f1-hybrid-hot-pepper-ihs-990.php
"PI Biovita X Granules Ascophyllum Nodosum, Seaweed Extract Granules, and Plant Growth Regulator",40.00 kg,4 Kg x 10 Qty,5319,8710,3391,https://agribegri.com/products/buy-pi-biovita-x-granules-seaweed-extract-granules-and-plant-growth-regulator.php
PI Brofreya Broflanilide 20% SC Mainly used for management of Lepidopteran & sucking pests,50.00 ml,50 ML x 1 Qty,1897,2782,885,https://agribegri.com/products/buy-pi-brofreya-broflanilide-20-sc.php
